"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"7","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","27.78"
"7","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.36"
"8","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(double) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","24.32"
"8","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(double) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","10.53"
"9","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","14.85"
"9","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.33"
"10","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.18"
"10","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.39"
"11","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::AUnaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","44.80"
"11","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::AUnaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","5.70"
